title,genre,director,production_company,release_date,budget,runtime,mpaa_rating,trailer_views,trailer_likes,cast_popularity_score,vote_average,vote_count,revenue,release_year,release_month,budget_to_runtime_ratio,trailer_engagement_rate
An Secret War,Animation,Jordan Peele,Sony Pictures,2016-06-05,88334410,124,PG,3692741,148497,4.53,6.0,1780,2947273398,2016,6,712374.2741935484,0.0402132183112761
An Legend,Action,Steven Spielberg,MGM,2022-07-25,217122432,137,G,47181744,858829,2.3,7.7,65920,22138697901,2022,7,1584835.2700729927,0.01820257004488855
The Magic Ocean,Adventure,Jordan Peele,Warner Bros,2017-10-09,32419830,96,R,1754661,75992,4.99,4.3,16966,68329624,2017,10,337706.5625,0.04330865050286067
An Mountain,Comedy,Unknown Director D,Disney,2016-11-30,73654380,137,PG,32054449,936588,3.61,4.5,78170,734597815,2016,11,537623.2116788321,0.02921865853941211
The Dragon Moon,Animation,Denis Villeneuve,Marvel Studios,2018-12-23,23697002,119,PG,18682715,193642,2.42,6.5,66956,768279112,2018,12,199134.4705882353,0.010364767647528745
An Dragon,Horror,David Fincher,Warner Bros,2024-05-30,91588420,120,R,31758761,1087219,2.62,7.5,67450,2980982888,2024,5,763236.8333333334,0.03423367177327856
The Mystery Light,Adventure,Denis Villeneuve,Lions Gate,2018-08-18,36076043,139,PG,7175408,330009,2.57,8.5,56057,1713311929,2018,8,259539.87769784173,0.04599167043880989
The Legend Fire,Comedy,Unknown Director A,MGM,2021-03-29,31807901,102,PG-13,33057365,909097,3.57,5.0,22245,528778569,2021,3,311842.1666666667,0.027500588749284766
A War Love,Adventure,Ridley Scott,Universal Pictures,2022-08-26,91198970,123,R,12859871,556782,6.13,6.4,47151,2176788363,2022,8,741455.0406504065,0.043296079719617714
Secret King,Action,Greta Gerwig,DreamWorks,2018-09-17,56051201,104,PG-13,16969950,434720,4.22,8.4,21691,5484418746,2018,9,538953.8557692308,0.02561704660296583
Dragon Legend,Horror,Unknown Director A,Marvel Studios,2015-05-13,50371664,116,R,13556082,316963,7.88,4.7,72707,766361362,2015,5,434238.4827586207,0.023381608343767766
Shadow Mystery,Adventure,David Fincher,MGM,2023-04-17,87199318,149,G,37105522,1081657,2.17,7.6,14639,9779301978,2023,4,585230.322147651,0.02915083636338548
A Love Love,Sci-Fi,Unknown Director A,Marvel Studios,2021-03-13,179432421,123,R,25415329,961147,4.87,6.1,19057,3976411372,2021,3,1458800.1707317072,0.03781760999434632
An Legend Knight,Fantasy,Greta Gerwig,Marvel Studios,2023-12-29,53999301,145,PG,3917397,51178,2.14,4.9,6730,1214017611,2023,12,372408.9724137931,0.013064287331613314
An Mystery,Romance,Unknown Director D,Disney,2019-12-22,45630244,150,PG-13,37104219,805433,6.88,6.6,36066,484865713,2019,12,304201.62666666665,0.02170731581764327
The Sun Moon,Fantasy,Quentin Tarantino,Warner Bros,2019-03-06,88107429,92,PG,46964934,1296753,7.88,8.8,3790,7280112561,2019,3,957689.445652174,0.027611089584412062
A Dragon Dragon,Drama,David Fincher,Universal Pictures,2022-05-27,62859244,154,G,44418858,986361,5.87,5.7,4406,3664849482,2022,5,408176.9090909091,0.022205906329244213
The Mystery Star,Action,Unknown Director C,Warner Bros,2021-03-16,154182635,150,PG-13,35987228,1027079,6.15,6.8,69014,6898047982,2021,3,1027884.2333333333,0.028540097614631502
A Star,Animation,David Fincher,Marvel Studios,2021-11-26,41811880,113,PG,44340172,887713,6.88,7.9,2617,5008850947,2021,11,370016.6371681416,0.02002051322669655
A Secret Storm,Action,Greta Gerwig,Warner Bros,2018-02-06,198028160,110,G,29657395,509874,7.89,5.4,65871,4920212515,2018,2,1800256.0,0.017192137070703613
A Empire,Action,Unknown Director B,Paramount,2017-11-20,54326689,133,PG-13,36368405,1408649,6.41,5.7,11155,2690799219,2017,11,408471.3458646617,0.03873276818161259
The Shadow Sun,Romance,Ridley Scott,20th Century Fox,2022-04-24,55293477,120,PG-13,41836101,470501,4.31,5.5,20669,955250758,2022,4,460778.975,0.011246291809076568
A Past Shadow,Comedy,David Fincher,Warner Bros,2015-11-13,35142752,126,R,36269488,1426182,8.63,6.6,7741,1025417533,2015,11,278910.7301587302,0.03932181231783586
The Knight,Adventure,Unknown Director B,Disney,2019-12-28,60019311,113,G,23721287,769003,1.69,5.8,64459,1484231390,2019,12,531144.3451327434,0.03241826634448628
The Kingdom Star,Horror,Ridley Scott,Sony Pictures,2016-04-28,15939544,116,R,33991716,1676808,6.18,7.2,26965,1098604547,2016,4,137409.8620689655,0.04932990143833868
An Adventure,Adventure,Martin Scorsese,DreamWorks,2024-09-20,76042742,148,R,28444011,687625,4.62,6.8,94321,7884374930,2024,9,513802.3108108108,0.02417468478689591
A King Peace,Sci-Fi,James Cameron,Lions Gate,2022-11-07,116132899,166,PG,48667185,1977748,9.25,8.7,11982,25411973666,2022,11,699595.7771084338,0.04063822470931902
The Dream Love,Action,Greta Gerwig,DreamWorks,2020-11-21,186426384,144,R,19243286,440902,3.87,4.9,19769,2017984138,2020,11,1294627.6666666667,0.022911991226446462
The Love,Drama,Martin Scorsese,Paramount,2017-11-28,86358784,168,G,15647418,573592,2.27,5.0,67676,1361130058,2017,11,514040.38095238095,0.03665729387429926
The King Star,Thriller,Jordan Peele,Universal Pictures,2024-04-26,65914632,108,PG-13,48166784,1842518,8.6,6.2,57657,1948866036,2024,4,610320.6666666666,0.038252875674655795
An Love Dragon,Thriller,Unknown Director A,DreamWorks,2022-07-15,14943990,135,R,2674084,73096,9.39,8.0,42618,138385709,2022,7,110696.22222222222,0.027334967787100182
The Dream Sun,Thriller,Unknown Director D,Universal Pictures,2023-03-24,71669489,108,PG-13,13426006,475158,1.8,6.6,95802,2138920918,2023,3,663606.3796296297,0.03539086754467412
The Dream Princess,Comedy,James Cameron,Disney,2024-10-24,158414269,132,R,32998239,1381631,4.53,5.8,64040,14229736848,2024,10,1200108.0984848484,0.04186984038754311
The Ocean Hero,Romance,Unknown Director B,20th Century Fox,2022-11-26,22187635,139,R,32927936,1120944,7.18,4.1,36117,151419869,2022,11,159623.27338129497,0.03404234021834834
A Hero,Drama,Ridley Scott,Marvel Studios,2018-06-17,65080733,146,PG,38520206,1734367,5.82,7.9,15459,4315759212,2018,6,445758.44520547945,0.04502486305498989
An War Magic,Action,Jordan Peele,Disney,2019-01-23,193739849,102,PG,36050138,930852,7.46,5.5,22155,5905685033,2019,1,1899410.2843137255,0.025821038465927648
Future,Horror,Christopher Nolan,Disney,2022-01-30,287342668,134,PG-13,2366804,49462,2.11,7.9,86888,40358280728,2022,1,2144348.268656716,0.02089822393404777
The Sun Dragon,Adventure,Unknown Director B,MGM,2023-11-21,57495761,102,PG-13,21824933,589406,7.69,5.5,61149,1218963822,2023,11,563683.931372549,0.02700608519622947
A Peace Love,Action,Denis Villeneuve,20th Century Fox,2019-03-07,196721830,135,G,30451349,577431,9.78,6.0,31423,2624515354,2019,3,1457198.7407407407,0.01896241115623482
Empire,Sci-Fi,Greta Gerwig,Lions Gate,2020-11-13,112392388,123,R,17013034,450408,7.66,8.2,5785,1719577270,2020,11,913759.2520325204,0.026474290241235043
King,Fantasy,Jordan Peele,Warner Bros,2016-03-06,164273516,134,G,25311864,381988,1.12,6.6,16922,2545962032,2016,3,1225921.7611940298,0.015091263132576882
An Knight Shadow,Sci-Fi,James Cameron,Paramount,2020-11-10,166539871,159,PG-13,37936674,1366055,2.27,6.6,27799,49198416498,2020,11,1047420.572327044,0.036008823546313
A Knight Mountain,Thriller,Christopher Nolan,Sony Pictures,2019-09-02,128110554,99,R,4599515,228744,1.05,7.5,27118,2885335500,2019,9,1294046.0,0.04973220002543746
The Moon,Sci-Fi,Greta Gerwig,Paramount,2019-02-13,158251524,179,PG-13,37755608,1194613,6.93,4.4,20978,5429926863,2019,2,884086.7262569832,0.03164067706180231
The King King,Animation,Unknown Director A,Lions Gate,2017-05-07,27561918,90,G,14625274,199686,8.23,4.7,22603,453733181,2017,5,306243.5333333333,0.013653487791066342
A Past Mystery,Sci-Fi,Unknown Director B,Lions Gate,2018-12-25,133687928,173,PG-13,35713701,468848,6.45,5.1,22773,3502438500,2018,12,772762.5895953757,0.013127958930943618
An Knight Legend,Romance,Unknown Director D,Lions Gate,2023-08-23,94931125,112,R,14446530,500990,8.89,8.6,26032,1599048367,2023,8,847599.3303571428,0.034678915974978075
Sun Mountain,Animation,James Cameron,Marvel Studios,2022-04-05,153806709,131,PG,26829058,315421,7.26,5.3,82955,7801089546,2022,4,1174097.0152671756,0.011756693060188695
An Magic Light,Romance,Christopher Nolan,MGM,2022-12-31,121122097,135,PG,8934761,118948,8.51,4.6,59114,2571741429,2022,12,897200.7185185185,0.013312947039098192
A Journey Knight,Animation,Unknown Director B,Sony Pictures,2020-10-15,6902027,150,PG,28042703,1220100,7.03,4.3,66735,145050367,2020,10,46013.513333333336,0.04350864465526023
The Kingdom Sun,Adventure,Ridley Scott,Lions Gate,2021-05-16,98454755,95,R,6016448,88143,1.82,7.6,25334,2081604117,2021,5,1036365.8421052631,0.014650338538619464
The Queen Shadow,Drama,Unknown Director B,Universal Pictures,2018-06-25,12158543,144,PG-13,12045648,254868,6.09,6.1,25673,157868178,2018,6,84434.32638888889,0.02115851301648529
Sun Past,Comedy,Christopher Nolan,MGM,2019-04-29,121796534,124,PG,47223003,1291744,6.81,7.4,38839,25893733209,2019,4,982230.1129032258,0.027354126547182948
The Magic Mountain,Comedy,Denis Villeneuve,Universal Pictures,2020-03-28,83761749,110,PG-13,37933925,952763,6.3,4.2,92919,1666346907,2020,3,761470.4454545454,0.025116383290155184
An Adventure,Thriller,Unknown Director C,MGM,2020-02-13,84668254,126,R,49153550,1276681,8.51,5.3,49918,1728156769,2020,2,671970.2698412698,0.02597332237447753
An Mountain Empire,Animation,Christopher Nolan,Universal Pictures,2020-09-28,124663561,149,PG,40154002,1951862,9.49,5.0,75447,8246075147,2020,9,836668.1946308725,0.04860940137423911
A Sun Journey,Comedy,James Cameron,Paramount,2015-11-26,129551483,105,PG,29396299,399985,3.2,7.4,50054,8450366935,2015,11,1233823.6476190477,0.013606644836480946
Hero Journey,Romance,Unknown Director C,Universal Pictures,2019-06-26,48904207,147,PG-13,45381679,1779637,4.82,6.0,10392,1063155941,2019,6,332681.6802721088,0.03921487788056498
The Hero King,Adventure,Unknown Director A,Disney,2016-07-19,72102111,102,G,14275562,315168,1.84,5.9,24576,693607613,2016,7,706883.4411764706,0.022077449560304527
Peace,Adventure,Unknown Director A,20th Century Fox,2024-01-05,6640743,100,PG-13,8739562,288294,4.46,6.3,64719,365067690,2024,1,66407.43,0.03298723666014384
An Light King,Fantasy,Ridley Scott,Warner Bros,2023-10-23,98006879,117,R,45379619,599027,1.06,8.7,93741,7051291261,2023,10,837665.6324786325,0.013200353224649153
The Ocean,Horror,David Fincher,Sony Pictures,2022-07-27,44747835,139,PG-13,36523235,755644,3.64,6.1,59559,5457166137,2022,7,321926.87050359714,0.020689404977406848
The Knight,Horror,Ridley Scott,Lions Gate,2022-09-23,87844702,105,R,2827370,36929,4.36,4.7,95871,1688826186,2022,9,836616.2095238095,0.013061254805702827
Dream,Adventure,Unknown Director D,20th Century Fox,2016-04-21,30721973,126,PG-13,20447502,707959,5.85,8.0,91997,3435324098,2016,4,243825.18253968254,0.03462325129005978
An Storm Queen,Horror,Christopher Nolan,20th Century Fox,2017-04-28,85024829,140,R,44204803,671500,3.4,7.0,84211,6808223106,2017,4,607320.2071428571,0.015190656997159336
An Peace,Fantasy,Christopher Nolan,Sony Pictures,2018-10-27,165803462,112,R,10285691,292914,7.68,5.1,92452,5600290319,2018,10,1480388.0535714286,0.028477814470607758
Future,Romance,Denis Villeneuve,Lions Gate,2015-05-02,25924610,129,PG,41993724,1010581,4.88,9.0,4068,987887287,2015,5,200965.96899224806,0.024065048386754172
A War,Horror,Martin Scorsese,Universal Pictures,2023-08-08,58836946,125,R,23723972,950174,4.76,7.0,42864,3201039084,2023,8,470695.568,0.040051219079166
A Light Storm,Thriller,Martin Scorsese,Universal Pictures,2019-06-27,43709441,90,R,31239954,1132374,7.15,4.5,77042,1274309472,2019,6,485660.4555555555,0.036247620595087945
An Light,Drama,Martin Scorsese,MGM,2022-01-06,68339163,163,G,24950138,272175,6.41,7.9,52031,3436090261,2022,1,419258.6687116564,0.010908757298256227
King,Drama,Greta Gerwig,Lions Gate,2020-02-24,37889647,163,R,16332536,683845,9.76,6.5,15569,339048513,2020,2,232451.82208588958,0.041870105169215605
Past,Sci-Fi,Steven Spielberg,20th Century Fox,2017-12-01,272193499,154,G,48136179,1976657,6.82,6.7,4109,66568784861,2017,12,1767490.2532467532,0.041063853447944006
An Hero War,Adventure,Martin Scorsese,Paramount,2023-07-02,82821046,138,G,48552211,813644,4.72,5.7,32859,12369441104,2023,7,600152.5072463768,0.016758124568209673
The Peace Adventure,Horror,Greta Gerwig,Paramount,2021-08-31,9797564,138,PG-13,10033720,309752,1.23,8.4,74864,230575513,2021,8,70996.84057971014,0.03087110264189154
The Sun Empire,Sci-Fi,James Cameron,Disney,2015-04-25,136817596,157,PG-13,10056496,335579,3.33,7.6,98708,28018679895,2015,4,871449.6560509554,0.03336937637125297
Princess,Fantasy,Denis Villeneuve,Universal Pictures,2020-06-05,151971213,90,G,23075860,438279,2.86,4.8,80775,3563740807,2020,6,1688569.0333333334,0.01899296494258502
The War Adventure,Drama,Ridley Scott,Marvel Studios,2019-06-21,89074257,126,PG-13,34152145,433319,5.98,6.7,98158,4575476131,2019,6,706938.5476190476,0.012687899984027357
A Star Magic,Comedy,Christopher Nolan,MGM,2017-12-24,228169836,107,G,49969298,879487,8.48,4.3,18373,8586893044,2017,12,2132428.3738317755,0.01760054744015015
An Hero Peace,Adventure,Denis Villeneuve,Disney,2016-02-14,77795512,127,PG,40250815,1186965,6.12,6.9,15617,5758801265,2016,2,612563.0866141733,0.02948921655375177
A Peace Secret,Thriller,Jordan Peele,Paramount,2022-03-28,45216633,106,PG-13,22993671,483132,6.05,5.5,58677,1245805483,2022,3,426572.0094339623,0.02101152095287438
The War Sun,Romance,Unknown Director A,DreamWorks,2024-03-23,29515629,102,G,15656022,290085,5.52,5.6,70520,237972864,2024,3,289368.9117647059,0.018528653063977555
An Fire Empire,Fantasy,Denis Villeneuve,MGM,2023-11-05,161913200,139,PG-13,15449380,730967,5.25,8.3,40795,8004289714,2023,11,1164843.165467626,0.047313678607167405
The Future,Comedy,Denis Villeneuve,Paramount,2015-03-21,99534768,102,PG,44529733,1721827,3.65,5.9,43184,7166110888,2015,3,975831.0588235294,0.038666905997392795
A Ocean Queen,Animation,Denis Villeneuve,Marvel Studios,2023-10-05,93505617,114,PG,16866889,357674,6.46,5.9,14295,3259682859,2023,10,820224.7105263158,0.0212056888499118
A Fire,Animation,James Cameron,MGM,2017-03-30,230816807,95,PG,16556883,382690,5.92,7.3,73964,55202308631,2017,3,2429650.6,0.02311365007531913
A Quest,Comedy,Ridley Scott,Lions Gate,2017-07-21,66848024,113,PG-13,13453669,499221,7.34,5.3,98996,4724286226,2017,7,591575.4336283186,0.03710668071289698
The Quest Queen,Fantasy,Unknown Director D,Sony Pictures,2023-11-11,194635544,121,PG-13,38675213,903070,1.6,4.4,13077,14632543744,2023,11,1608558.2148760331,0.023350097645228225
Queen Secret,Horror,Denis Villeneuve,Lions Gate,2024-12-21,25428651,131,R,5000677,86346,6.18,6.3,91778,577208689,2024,12,194111.8396946565,0.017266862066876144
Knight Mountain,Romance,Jordan Peele,Lions Gate,2022-05-01,94308727,102,PG-13,48076426,2148522,2.37,7.9,28019,1087023872,2022,5,924595.3627450981,0.044689719655949464
An Sun Dragon,Comedy,David Fincher,Paramount,2017-08-12,34156896,139,PG-13,1931833,29928,9.09,6.2,50166,495866882,2017,8,245733.06474820143,0.015492022343546259
Hero,Animation,Unknown Director B,DreamWorks,2016-05-13,26861785,138,G,8177110,389458,7.67,5.8,42534,325903995,2016,5,194650.615942029,0.04762782939204682
An Star Shadow,Romance,James Cameron,Warner Bros,2019-11-14,255020410,109,PG,47157670,630878,6.79,5.9,62782,2975748205,2019,11,2339636.788990826,0.013378057058374597
An Future Hero,Animation,Unknown Director C,Disney,2024-09-18,93711501,108,PG,41543416,1104849,2.42,4.9,68973,6821229167,2024,9,867699.0833333334,0.02659504456735094
Mystery,Romance,Christopher Nolan,Marvel Studios,2018-09-20,87649575,146,R,2396651,94423,2.3,6.0,71710,4368507123,2018,9,600339.5547945206,0.039397893143390504
An Hero Dragon,Fantasy,Denis Villeneuve,Universal Pictures,2024-08-10,50193710,109,R,31606737,1453339,3.31,5.6,71777,626742516,2024,8,460492.752293578,0.04598193733190491
The Magic Magic,Adventure,Unknown Director B,20th Century Fox,2018-03-02,87545856,96,PG,15281595,306041,7.57,5.5,94121,1555199976,2018,3,911936.0,0.020026770765747947
Secret Past,Sci-Fi,Unknown Director A,Marvel Studios,2023-11-28,103122342,131,G,9693511,343007,8.52,5.2,53004,489122134,2023,11,787193.4503816793,0.035385218008211886
The Love Mountain,Horror,Unknown Director A,DreamWorks,2018-10-13,50265544,147,PG-13,17231847,407349,8.85,7.9,60810,1114618893,2018,10,341942.4761904762,0.023639311560739833
A Empire Magic,Fantasy,Unknown Director B,Paramount,2016-06-01,143314672,109,R,29370477,943730,9.46,8.8,67155,4221225584,2016,6,1314813.504587156,0.032131926219652475
A Mystery,Fantasy,Jordan Peele,Marvel Studios,2023-12-22,193118043,113,PG,46653066,2234053,5.78,5.9,14125,18174651501,2023,12,1709009.2300884956,0.04788652047005871
An Princess Hero,Sci-Fi,James Cameron,20th Century Fox,2020-11-07,193082230,177,R,31507226,720786,7.49,5.5,10813,24208251740,2020,11,1090860.0564971752,0.02287684736193532
A Mystery Fire,Drama,David Fincher,Universal Pictures,2022-03-31,61238473,145,PG,16781471,727865,1.63,8.8,37204,1736446970,2022,3,422334.29655172414,0.04337313457205271
Future Future,Animation,Denis Villeneuve,Disney,2022-05-29,63823870,109,G,36423308,1446605,5.09,4.4,99861,5533262386,2022,5,585540.0917431193,0.0397164639741124
An Kingdom,Horror,Quentin Tarantino,DreamWorks,2016-02-27,16888060,136,R,16292871,729504,6.98,8.2,57685,306938428,2016,2,124176.91176470589,0.04477442925804789
Queen Empire,Adventure,Unknown Director B,Lions Gate,2017-09-21,83622613,121,PG,39767005,1087654,3.39,9.0,93868,3332624500,2017,9,691095.9752066116,0.027350664200132747
The Star Dragon,Drama,Ridley Scott,MGM,2022-07-18,86041439,146,R,48303558,1921147,4.13,7.9,61390,1139915794,2022,7,589324.9246575342,0.03977237039143162
The Empire Legend,Sci-Fi,Unknown Director C,Marvel Studios,2023-03-06,172573848,174,PG-13,24164495,1032663,4.1,8.9,33597,11532871529,2023,3,991803.724137931,0.042734722989245175
Light Shadow,Comedy,Unknown Director D,Lions Gate,2024-08-09,16927856,111,PG-13,41466086,1307400,8.25,8.8,42488,1767728964,2024,8,152503.20720720722,0.03152938041945893
A Empire Hero,Romance,Unknown Director C,Universal Pictures,2016-11-21,48320084,91,G,12836574,427122,9.18,7.5,74463,641026203,2016,11,530989.934065934,0.03327383147559466
A Mountain Kingdom,Romance,David Fincher,Universal Pictures,2019-04-27,18908449,144,PG-13,41265921,1353698,1.74,9.0,59004,861183404,2019,4,131308.67361111112,0.032804259960658576
Journey Magic,Horror,Quentin Tarantino,Marvel Studios,2024-08-13,87170846,120,R,27918358,900447,9.99,5.0,25386,9417583507,2024,8,726423.7166666667,0.03225286386828337
The Light Past,Drama,Ridley Scott,DreamWorks,2019-01-02,15340193,164,PG,21686408,962828,9.88,5.2,71552,280632644,2019,1,93537.76219512195,0.044397762875253474
An Moon Journey,Drama,Denis Villeneuve,Paramount,2021-06-10,12140578,149,R,33462027,1125746,1.58,9.0,3898,439693460,2021,6,81480.38926174496,0.03364249272765215
The Dragon Knight,Animation,Denis Villeneuve,20th Century Fox,2022-11-24,22898844,115,G,44512701,1250115,5.85,7.4,44323,1437048315,2022,11,199120.38260869565,0.028084456164545035
An Adventure Kingdom,Adventure,Greta Gerwig,Warner Bros,2020-12-09,60527409,136,PG,49261023,876095,9.82,7.9,24506,9562527722,2020,12,445054.47794117645,0.017784750430375754
A Empire Queen,Romance,Martin Scorsese,Warner Bros,2018-06-28,52668359,101,R,17012382,510154,2.66,6.0,30706,181224540,2018,6,521468.900990099,0.029987217545432498
A Journey,Fantasy,Christopher Nolan,Marvel Studios,2018-08-31,183281486,109,G,38223113,1243573,8.73,8.8,25704,50447621128,2018,8,1681481.5229357798,0.03253458189028194
The Future Queen,Fantasy,Martin Scorsese,Lions Gate,2015-05-05,60408391,149,G,21015507,996162,1.97,7.4,78346,2018200198,2015,5,405425.44295302016,0.047401283252409755
The Knight Empire,Fantasy,Steven Spielberg,Sony Pictures,2017-10-05,178165105,99,PG,33034893,579220,4.64,5.8,63970,26630210433,2017,10,1799647.5252525252,0.017533581840268108
A Magic,Fantasy,Unknown Director A,Disney,2018-03-03,135984284,98,R,13390341,290816,6.64,6.0,50422,524893699,2018,3,1387594.7346938776,0.02171834160160671
A Moon Princess,Adventure,James Cameron,MGM,2023-05-22,233350440,124,PG,43112247,972014,1.43,4.1,40707,19160281569,2023,5,1881858.3870967743,0.022546122451005627
A King,Thriller,Martin Scorsese,Disney,2022-12-28,47991351,94,PG-13,33337356,609056,6.76,4.1,51002,4692707178,2022,12,510546.28723404254,0.01826947523972807
An Knight,Action,Martin Scorsese,Universal Pictures,2021-09-18,116081604,129,PG-13,28476352,1059771,7.39,8.5,41598,22423285759,2021,9,899857.3953488372,0.03721582736440398
Magic Light,Sci-Fi,Christopher Nolan,Lions Gate,2016-06-11,257962783,164,PG,4832809,171583,2.04,8.5,65033,27517740712,2016,6,1572943.7987804879,0.035503782582758804
Fire,Sci-Fi,Unknown Director D,Disney,2015-12-21,198914564,174,R,13574666,204768,9.96,6.3,15331,1524981327,2015,12,1143187.1494252873,0.015084570036566646
Ocean,Fantasy,Unknown Director C,Disney,2023-08-14,106487236,136,PG-13,3036542,99452,9.54,5.7,33873,2715017381,2023,8,782994.3823529412,0.03275172877569288
Love,Thriller,Steven Spielberg,Disney,2021-09-30,221883333,108,PG-13,9720958,309952,3.86,4.6,9536,12361694771,2021,9,2054475.3055555555,0.031884923276080404
Future,Animation,Steven Spielberg,Disney,2023-07-19,248654399,92,G,1428309,51354,9.2,8.7,85513,24394814369,2023,7,2702765.2065217393,0.035954404824166196
A Moon Storm,Romance,Quentin Tarantino,Universal Pictures,2018-03-20,90509203,136,PG,26168557,1307528,8.94,5.8,3744,3643313621,2018,3,665508.8455882353,0.04996561331218989
A Sun,Thriller,Unknown Director B,Lions Gate,2019-12-24,57135917,119,R,22769463,524618,4.59,7.6,27989,793198043,2019,12,480133.756302521,0.023040420408685088
Sun Kingdom,Sci-Fi,Martin Scorsese,Lions Gate,2016-03-21,195714470,161,R,20254152,935479,9.6,8.4,55017,4396772566,2016,3,1215617.8260869565,0.04618702377665577
The Princess Sun,Animation,Unknown Director C,Universal Pictures,2022-03-11,58938948,126,G,10212182,270128,5.22,8.3,18112,5640277347,2022,3,467769.4285714286,0.026451545810679832
The Light Hero,Romance,Unknown Director D,Warner Bros,2018-07-07,52874974,102,PG,14394983,321043,1.59,7.1,42353,1901693546,2018,7,518382.09803921566,0.02230242300390351
An Love Ocean,Comedy,Jordan Peele,DreamWorks,2022-01-19,68024306,134,PG-13,46402680,2037995,3.24,4.6,20221,3897498100,2022,1,507644.0746268657,0.04391976928918761
Hero,Thriller,Christopher Nolan,Lions Gate,2022-07-14,232144654,112,R,5804958,263891,1.62,4.7,40335,13360726990,2022,7,2072720.125,0.0454595881658403
Ocean Kingdom,Thriller,Christopher Nolan,MGM,2024-12-28,238463552,116,PG-13,24609229,1084039,2.73,5.4,69214,27799686903,2024,12,2055720.2758620689,0.044050100066117474
Mystery War,Adventure,Ridley Scott,DreamWorks,2015-05-09,22535526,145,G,49400940,1627568,3.72,5.0,62619,1329801570,2015,5,155417.42068965518,0.03294609373829729
A War Hero,Fantasy,Quentin Tarantino,Lions Gate,2018-02-27,121584363,95,R,45184266,605099,7.0,5.6,67688,11158332325,2018,2,1279835.4,0.013391807670395708
The Empire,Romance,Unknown Director D,MGM,2015-10-16,25970686,127,R,42445888,1907350,8.08,4.5,16987,139723428,2015,10,204493.5905511811,0.04493603714922868
An Star,Fantasy,Quentin Tarantino,Lions Gate,2024-03-02,102962248,135,R,40731586,1558022,5.22,7.7,78569,5551988798,2024,3,762683.3185185185,0.03825095344924698
An Mountain Moon,Comedy,Unknown Director D,Sony Pictures,2023-06-25,35563463,100,R,42734054,1856436,3.67,6.1,84964,527941404,2023,6,355634.63,0.04344160748240736
A Queen Princess,Action,Greta Gerwig,20th Century Fox,2015-11-24,169703962,90,G,21467331,719703,9.25,5.8,90270,9590096243,2015,11,1885599.5777777778,0.033525499746568405
The Ocean,Drama,Greta Gerwig,Universal Pictures,2015-06-24,97726279,142,R,31301918,1414814,3.92,8.0,53853,891774735,2015,6,688213.2323943662,0.04519895554004071
A Moon Journey,Action,David Fincher,Universal Pictures,2016-09-10,99367862,103,G,1199871,30778,2.35,5.7,3841,2968997440,2016,9,964736.5242718447,0.025651090825597085
Legend,Romance,Steven Spielberg,Warner Bros,2018-08-17,269521902,120,PG-13,9594414,186190,9.49,8.0,55571,27156220047,2018,8,2246015.85,0.01940608358155068
An Legend,Comedy,Ridley Scott,MGM,2020-04-23,13472493,91,R,24930851,665155,2.89,5.6,31597,456914803,2020,4,148049.37362637362,0.02667999580118625
Hero Legend,Animation,Quentin Tarantino,MGM,2021-11-01,36812000,142,G,32888580,1069928,9.02,5.6,13528,3635671222,2021,11,259239.4366197183,0.03253190013068366
Magic,Comedy,Ridley Scott,Marvel Studios,2020-04-24,38096161,104,G,22058985,534858,6.59,6.8,36750,1442927653,2020,4,366309.2403846154,0.024246718514020476
A Princess,Fantasy,Unknown Director C,DreamWorks,2018-03-02,116632784,140,R,28486467,1083221,8.67,5.5,27770,2485941865,2018,3,833091.3142857143,0.03802581064194447
The Magic,Adventure,James Cameron,Lions Gate,2018-02-04,133091348,135,R,19210106,317274,2.16,8.8,17241,17701065222,2018,2,985861.837037037,0.016515994237616387
Quest Knight,Horror,Ridley Scott,MGM,2023-06-26,81306755,92,PG-13,48604721,1880555,2.19,4.3,9899,726589407,2023,6,883769.0760869565,0.03869078890505307
An Hero Future,Sci-Fi,Unknown Director A,20th Century Fox,2022-10-16,91603202,155,G,14008618,391399,2.04,8.6,35177,527567829,2022,10,590988.4,0.027939872441378584
The War Sun,Romance,Ridley Scott,20th Century Fox,2023-06-24,90138411,132,R,1392230,42337,3.61,4.1,94682,329046665,2023,6,682866.75,0.030409486938221413
Kingdom Shadow,Drama,Martin Scorsese,DreamWorks,2015-01-31,89245755,167,PG-13,17927249,578162,5.6,4.8,27422,1864240729,2015,1,534405.7185628742,0.03225045850593139
An Star Hero,Adventure,Christopher Nolan,20th Century Fox,2024-01-09,108650014,137,PG,13531344,546536,7.62,5.5,91406,8430124149,2024,1,793065.795620438,0.04039037068306001
The Queen Secret,Comedy,Unknown Director D,Sony Pictures,2017-04-25,72054198,150,R,48416320,1118143,9.86,7.0,22660,1201656062,2017,4,480361.32,0.023094340916451312
An Journey Mystery,Horror,Christopher Nolan,Paramount,2019-12-28,182386897,136,PG-13,6625174,80439,2.94,5.0,56465,12882197229,2019,12,1341080.125,0.012141416965048767
An Moon,Adventure,Unknown Director A,Marvel Studios,2024-11-14,68955393,101,G,7655570,102920,3.11,8.3,76992,1872293674,2024,11,682726.6633663366,0.01344380627438584
Princess Dream,Comedy,Christopher Nolan,MGM,2015-06-30,256257413,94,PG-13,47740699,1015098,5.31,8.0,4199,105949563217,2015,6,2726142.6914893617,0.02126273852839901
